id_vente,date,id_client,nom_client,region,id_produit,nom_produit,categorie,qte,prix_unitaire_Ar,remise_%,total_Ar,marge_Ar
V1001,2025-09-17,C002,Score Jumbo,Antsiranana,P006,Sucre Roux 1kg,Sucre,7,3800,0,26600.0,5600.0
V1002,2025-09-17,C004,Epicerie Madiro,Ambanja,P007,Farine 25kg,Farine,14,54000,0,756000.0,126000.0
V1003,2025-09-17,C001,Epicerie Amina,Antsiranana,P006,Sucre Roux 1kg,Sucre,7,3800,0,26600.0,5600.0
V1004,2025-09-17,C004,Epicerie Madiro,Ambanja,P009,Lait Nido 2kg,Lait,15,78000,0,1170000.0,195000.0
V1005,2025-09-17,C003,Hotel Constance Nosy Be,Nosy Be,P014,Tomate concentrée 1 carton,Conserve,12,30000,10,324000.0,24000.0
V1006,2025-09-18,C005,Quincaillerie Diego,Antsiranana,P016,Biscuit Gold 1 carton,Biscuit,3,22000,0,66000.0,12000.0
V1007,2025-09-18,C003,Hotel Constance Nosy Be,Nosy Be,P007,Farine 25kg,Farine,1,54000,5,51300.0,6300.0
V1008,2025-09-18,C006,Alimentation Ambilobe,Ambilobe,P018,Coca 1 pack 33cl,Boisson,1,15000,10,13500.0,1500.0
V1009,2025-09-18,C003,Hotel Constance Nosy Be,Nosy Be,P002,Riz Tsipala 50kg,Riz,8,130000,5,988000.0,108000.0
V1010,2025-09-19,C004,Epicerie Madiro,Ambanja,P017,Eau Vive 1 pack 1.5L,Boisson,15,10000,5,142500.0,22500.0
V1011,2025-09-19,C002,Score Jumbo,Antsiranana,P002,Riz Tsipala 50kg,Riz,37,130000,0,4810000.0,740000.0
V1012,2025-09-19,C002,Score Jumbo,Antsiranana,P003,Huile Ril 20L,Huile,10,98000,0,980000.0,130000.0
V1013,2025-09-19,C006,Alimentation Ambilobe,Ambilobe,P008,Farine 1kg,Farine,7,2800,0,19600.0,4200.0
V1014,2025-09-20,C005,Quincaillerie Diego,Antsiranana,P008,Farine 1kg,Farine,10,2800,5,26600.0,4600.0
V1015,2025-09-20,C001,Epicerie Amina,Antsiranana,P020,Tôles 3m galvanisées,Matériaux,2,32000,0,64000.0,14000.0
V1016,2025-09-20,C006,Alimentation Ambilobe,Ambilobe,P019,Ciment Holcim 50kg,Matériaux,10,45000,5,427500.0,47500.0
V1017,2025-09-20,C003,Hotel Constance Nosy Be,Nosy Be,P009,Lait Nido 2kg,Lait,4,78000,10,280800.0,20800.0
V1018,2025-09-20,C006,Alimentation Ambilobe,Ambilobe,P011,Savon Nosy 1 carton,Hygiène,4,50000,0,200000.0,32000.0
V1019,2025-09-21,C004,Epicerie Madiro,Ambanja,P005,Sucre Blanc 1kg,Sucre,11,4000,10,39600.0,4400.0
V1020,2025-09-21,C003,Hotel Constance Nosy Be,Nosy Be,P015,Pâtes Spaghetti 500g,Pâtes,6,3200,0,19200.0,4200.0
V1021,2025-09-21,C001,Epicerie Amina,Antsiranana,P015,Pâtes Spaghetti 500g,Pâtes,10,3200,5,30400.0,5400.0
V1022,2025-09-21,C001,Epicerie Amina,Antsiranana,P003,Huile Ril 20L,Huile,9,98000,0,882000.0,117000.0
V1023,2025-09-21,C005,Quincaillerie Diego,Antsiranana,P009,Lait Nido 2kg,Lait,3,78000,0,234000.0,39000.0
V1024,2025-09-22,C001,Epicerie Amina,Antsiranana,P008,Farine 1kg,Farine,6,2800,0,16800.0,3600.0
V1025,2025-09-22,C002,Score Jumbo,Antsiranana,P015,Pâtes Spaghetti 500g,Pâtes,14,3200,5,42560.0,7560.0
V1026,2025-09-22,C006,Alimentation Ambilobe,Ambilobe,P010,Lait Bonnet Rouge 450g,Lait,10,4500,10,40500.0,5500.0
V1027,2025-09-23,C005,Quincaillerie Diego,Antsiranana,P001,Riz Maka 25kg,Riz,40,65000,0,2600000.0,400000.0
V1028,2025-09-23,C006,Alimentation Ambilobe,Ambilobe,P004,Huile Hina 5L,Huile,15,33000,0,495000.0,75000.0
V1029,2025-09-23,C003,Hotel Constance Nosy Be,Nosy Be,P004,Huile Hina 5L,Huile,15,33000,0,495000.0,75000.0
V1030,2025-09-23,C006,Alimentation Ambilobe,Ambilobe,P018,Coca 1 pack 33cl,Boisson,3,15000,0,45000.0,9000.0
V1031,2025-09-23,C003,Hotel Constance Nosy Be,Nosy Be,P020,Tôles 3m galvanisées,Matériaux,4,32000,10,115200.0,15200.0
V1032,2025-09-24,C003,Hotel Constance Nosy Be,Nosy Be,P007,Farine 25kg,Farine,11,54000,10,534600.0,39600.0
V1033,2025-09-24,C003,Hotel Constance Nosy Be,Nosy Be,P017,Eau Vive 1 pack 1.5L,Boisson,8,10000,0,80000.0,16000.0
V1034,2025-09-24,C001,Epicerie Amina,Antsiranana,P003,Huile Ril 20L,Huile,11,98000,0,1078000.0,143000.0
V1035,2025-09-24,C003,Hotel Constance Nosy Be,Nosy Be,P002,Riz Tsipala 50kg,Riz,5,130000,0,650000.0,100000.0
V1036,2025-09-25,C002,Score Jumbo,Antsiranana,P009,Lait Nido 2kg,Lait,3,78000,10,210600.0,15600.0
V1037,2025-09-25,C004,Epicerie Madiro,Ambanja,P018,Coca 1 pack 33cl,Boisson,12,15000,0,180000.0,36000.0
